procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----|1380060000
 r  b   swpd   free  inact active   si   so    bi    bo   in   cs us sy id wa|1380060001
 1  0     46    321     12      0 9686 10577 12800 10581 4126 1730  1 25 54 20|1380060002
 0  0     46    320     12      0    0    0     0    36  110  182  0  0 100  0|1380060003
 0  0     46    320     12      0    0    0     0     0   97  155  0  1 100  0|1380060004
 3  0     49      4     52    275  160 2664   612  2700 3469  412  1 11 88  0|1380060005
 3  1    252      5    164    163 18932 213724 60732 213724 24644 6049  1 61  3 35|1380060006
 9  6    310      3    163    162 51188 58228 64800 58228 15050 7927  0 42  3 55|1380060007
 0  0     55    316     16      0 4440 2080 10220  2080 1731 1408  0  6 87  7|1380060008
 0  0     55    316     16      0    0    0     0     0  111  164  0  1 99  0|1380060009
